122	4
182	4
121	4
125	4
122	24
722	24
571	4
122	26
125	26
92	3
122	14
422	14
124	4
130	26
691	23
127	4
126	4
364	4
128	4
122	20
125	20
609	20
608	20
545	20
665	20
541	20
691	20
572	20
573	20
605	20
244	8
306	8
122	19
125	19
571	19
572	19
364	12
573	19
182	19
662	19
663	19
123	4
92	4
129	4
128	12
845	28
122	12
368	12
363	12
122	18
302	10
422	10
512	17
122	6
303	10
363	21
573	12
302	12
242	14
122	22
125	22
125	23
693	23
847	12
665	22
422	3
183	6
391	4
181	6
125	14
423	14
391	13
421	14
122	25
121	25
663	22
752	25
543	18
125	25
130	22
128	25
130	25
665	25
122	9
125	9
271	9
273	9
125	8
92	9
665	9
128	9
183	9
606	21
122	7
573	7
122	10
571	10
573	10
305	10
304	10
128	10
391	10
512	10
541	10
125	10
121	10
124	10
126	10
423	10
122	11
125	11
128	11
123	11
571	11
334	11
332	11
846	28
121	26
782	26
784	26
783	26
125	24
392	13
122	13
128	13
128	18
541	18
573	18
125	18
542	18
544	18
571	18
122	21
127	21
631	21
422	21
125	21
122	27
811	27
128	5
121	5
122	5
153	5
183	5
212	5
243	5
333	5
366	5
722	5
542	5
151	5
364	5
244	5
182	6
301	5
125	5
368	5
126	5
571	5
152	5
572	5
363	5
244	15
607	20
691	22
333	11
301	4
607	18
122	23
131	23
695	23
122	8
126	8
122	15
452	15
453	15
573	4
605	21
212	19
128	19
62	3
272	9
422	24
812	27
606	20
542	19
122	2
301	10
128	6
127	22
131	10
781	26
331	5
126	24
302	5
572	10
128	26
