202422	Desenvolvimento, Manutencao e Atualizacao da Infraestrutura Espacial		2056
203513	Pesquisa e Desenvolvimento de Tecnologias para o Setor Espacial		2056
203511	Desenvolvimento e Lancamento de Satclites		2056
202431	Cicncia, Tecnologia e Inovacao no Centro Brasileiro de Pesquisas Fcsicas - CBPF		2021
4132	Pesquisa e Desenvolvimento no Instituto Brasileiro de Informacao em Cicncia e Tecnologia - IBICT		2021
202427	Cicncia, Tecnologia e Inovacao no Museu de Astronomia e Cicncias Afins - MAST		2021
202429	Cicncia, Tecnologia e Inovacao no Observatcrio Nacional - ON		2021
4128	Pesquisa e Desenvolvimento no Centro de Tecnologia Mineral - CETEM		2021
4126	Pesquisa e Desenvolvimento em Astrofcsica e Astronomia no Laboratcrio Nacional de Astrofcsica - LNA		2021
121913	Implantacao do Centro Nacional de Monitoramento e Alerta de Desastres Naturais - CEMADEN		2040
1835	Formacao, Capacitacao e Fixacao de Recursos Humanos Qualificados para C,T&I		2021
202426	Seguranca Nuclear e Controle de Material Nuclear e Protecao Fcsica de Instalacaes Nucleares e Radiativas		2059
2468	Atendimento a Emergcncias Radiolcgicas e Nucleares		2059
2478	Fornecimento de Radioisctopos e Radiofcrmacos no Pacs		2059
202423	Radioprotecao, Dosimetria e Metrologia das Radiacaes Ionizantes		2059
202421	Desenvolvimento da Cicncia e da Tecnologia Nuclear		2059
12171	Implantacao do Reator Multipropcsito Brasileiro		2059
2482	Fabricacao do Combustcvel Nuclear		2059
2489	Producao de Minerais Pesados e cxidos de Terras Raras		2041
20351	Desenvolvimento e Fabricacao de Equipamentos para as Indcstrias Nuclear e Pesada de Alta Tecnologia		2055
6432	Pesquisa, Desenvolvimento, Fabricacao e Comercializacao de Componentes Semicondutores		2055
20228	Acompanhamento e Controle de Atividades Econcmicas		2039
20226	Gestco de Polcticas Econcmicas e Fiscais		2039
2244	Recuperacao de crcditos, consultoria, representacao judicial e extrajudicial da Fazenda Nacional		2110
203514	Fortalecimento Institucional		2110
2237	Auditoria e Fiscalizacao Tributcria e Aduaneira		2110
2238	Arrecadacao Tributcria e Aduaneira		2110
202624	Desenvolvimento do Mercado de Valores Mobilicrios		2039
21028	Supervisco do Mercado de Valores Mobilicrios		2039
2211	Solucaes de Tecnologia da Informacao para o Governo Federal		751
203534	Fiscalizacao e Regulamentacao de Mercados de Seguros, Resseguros, Capitalizacao e Previdcncia Complementar Aberta		2039
2250	Selecao, Formacao e Desenvolvimento de Pessoas		2038
4572	Capacitacao de Servidores Pcblicos Federais em Processo de Qualificacao e Requalificacao	Capacitacao de Servidores	2109
2030	Manutencao das Polccias Civil e Militar e do Corpo de Bombeiros do Distrito Federal		903
